상가업소번호,상호명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,지번주소,도로명코드,도로명,도로명주소,구우편번호,신우편번호,경도,위도,시,구,동,그외주소,구_동,학교,술집,노래방,다른 포토부스 개수
MA010120220809774341,미스터포토,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11110,종로구,11110540,삼청동,1111014300,화동,1111014300101000000,서울특별시 종로구 화동 100,111104100111,서울특별시 종로구 북촌로5가길,서울특별시 종로구 북촌로5가길 12,110230,3053,126.982175701865,37.5801391566376,서울특별시,종로구,화동,100,종로구 화동,57,163,13,0
MA010120220809731940,사진관,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73303,사진 처리업,11410,서대문구,11410585,신촌동,1141011600,창천동,1141011600100520030,서울특별시 서대문구 창천동 52-30,114104136230,서울특별시 서대문구 연세로11길,서울특별시 서대문구 연세로11길 17,120834,3788,126.935710547219,37.558744185118,서울특별시,서대문구,창천동,52-30,서대문구 창천동,58,559,76,0
MA010120220809921489,사진촬영업,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11350,노원구,11350595,공릉1동,1135010300,공릉동,1135010300106450002,서울특별시 노원구 공릉동 645-2,113504130005,서울특별시 노원구 공릉로26길,서울특별시 노원구 공릉로26길 20,139808,1803,127.079150926101,37.6201669268574,서울특별시,노원구,공릉동,645-2,노원구 공릉동,39,150,73,0
MA010120220810242932,아더스튜디오,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11680,강남구,11680531,논현2동,1168010800,논현동,1168010800100610012,서울특별시 강남구 논현동 61-12,116804166273,서울특별시 강남구 도산대로34길,서울특별시 강남구 도산대로34길 5,135816,6047,127.030857647655,37.5199264007899,서울특별시,강남구,논현동,61-12,강남구 논현동,27,608,44,0
MA010120220810966128,포토시그니처,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11620,관악구,11620585,낙성대동,1162010100,봉천동,1162010100116040022,서울특별시 관악구 봉천동 1604-22,116204160007,서울특별시 관악구 관악로14길,서울특별시 관악구 관악로14길 38,151835,8788,126.954653595884,37.478747295099,서울특별시,관악구,봉천동,1604-22,관악구 봉천동,46,292,72,0
MA010120220811483055,포토이즘,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11380,은평구,11380552,갈현2동,1138010400,갈현동,1138010400104520031,서울특별시 은평구 갈현동 452-31,113804133160,서울특별시 은평구 연서로29길,서울특별시 은평구 연서로29길 23,122959,3331,126.917673905066,37.6193999807765,서울특별시,은평구,갈현동,452-31,은평구 갈현동,44,201,79,0
MA010120220811800776,우리동네사진관,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11215,광진구,11215710,화양동,1121510700,화양동,1121510700100070003,서울특별시 광진구 화양동 7-3,112153000002,서울특별시 광진구 아차산로,서울특별시 광진구 아차산로 229,143717,5018,127.06899348461,37.5407771828983,서울특별시,광진구,화양동,7-3,광진구 화양동,49,421,138,0
MA010120220811754971,포토이즘박스,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11470,양천구,11470550,목5동,1147010200,목동,1147010200109070005,서울특별시 양천구 목동 907-5,114703114003,서울특별시 양천구 목동서로,서울특별시 양천구 목동서로 65,158729,7983,126.878710893053,37.5361141632682,서울특별시,양천구,목동,907-5,양천구 목동,50,21,5,0
MA010120220812348092,아토스튜디오,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103750025,서울특별시 마포구 서교동 375-25,114404139421,서울특별시 마포구 양화로15안길,서울특별시 마포구 양화로15안길 19,121894,4031,126.918519767407,37.5539205858196,서울특별시,마포구,서교동,375-25,마포구 서교동,55,1027,89,0
MA010120220813111746,인생네컷,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11200,성동구,11200550,사근동,1120010700,행당동,1120010700100060002,서울특별시 성동구 행당동 6-2,112003103002,서울특별시 성동구 마조로,서울특별시 성동구 마조로 25,133817,4760,127.04089869257,37.5600330001779,서울특별시,성동구,행당동,6-2,성동구 행당동,68,181,49,0
MA010120220813290945,포토시그니처,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73303,사진 처리업,11560,영등포구,11560605,문래동,1156012000,문래동2가,1156012000100440015,서울특별시 영등포구 문래동2가 44-15,115604154054,서울특별시 영등포구 경인로79길,서울특별시 영등포구 경인로79길 16,150092,7290,126.893778127337,37.5134148783471,서울특별시,영등포구,문래동2가,44-15,영등포구 문래동2가,44,219,26,0
MA010120220813996993,팝콘스튜디오,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11410,서대문구,11410585,신촌동,1141011600,창천동,1141011600100330019,서울특별시 서대문구 창천동 33-19,114103112008,서울특별시 서대문구 연세로,서울특별시 서대문구 연세로 29-1,120834,3788,126.936735086995,37.5583299279034,서울특별시,서대문구,창천동,33-19,서대문구 창천동,65,441,72,0
MA0101202211A0012131,와이제이사진관,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11470,양천구,11470650,신정4동,1147010100,신정동,1147010100109000021,서울특별시 양천구 신정동 900-21,114703114002,서울특별시 양천구 목동로,서울특별시 양천구 목동로 213,158857,7938,126.86379385874,37.5274297371354,서울특별시,양천구,신정동,900-21,양천구 신정동,48,153,91,0
MA010120220800040001,미스터포토,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11110,종로구,11110650,혜화동,1111017300,명륜3가,1111017300101540003,서울특별시 종로구 명륜3가 154-3,111103005008,서울특별시 종로구 창경궁로,서울특별시 종로구 창경궁로 235,110812,3073,126.998350485629,37.5829626188737,서울특별시,종로구,명륜3가,154-3,종로구 명륜3가,71,156,24,0
MA010120220800295877,더스튜디오,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11290,성북구,11290705,종암동,1129013500,종암동,1129013500100100101,서울특별시 성북구 종암동 10-101,112903005036,서울특별시 성북구 종암로,서울특별시 성북구 종암로 82-15,136858,2800,127.035917058637,37.5978993335141,서울특별시,성북구,종암동,10-101,성북구 종암동,29,50,41,0
MA010120220800343509,매직포토,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11560,영등포구,11560535,영등포동,1156010400,영등포동3가,1156010400100080001,서울특별시 영등포구 영등포동3가 8-1,115604154817,서울특별시 영등포구 영중로8길,서울특별시 영등포구 영중로8길 6,150030,7302,126.906160022479,37.5183507803793,서울특별시,영등포구,영등포동3가,8-1,영등포구 영등포동3가,51,227,87,0
MA010120220800564686,한양스튜디오,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11410,서대문구,11410660,홍은1동,1141011800,홍은동,1141011800100090178,서울특별시 서대문구 홍은동 9-178,114104136420,서울특별시 서대문구 포방터길,서울특별시 서대문구 포방터길 42-2,120841,3607,126.949130361804,37.5984830154015,서울특별시,서대문구,홍은동,9-178,서대문구 홍은동,34,39,7,0
MA010120220800655989,사진관,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11410,서대문구,11410700,남가좌2동,1141012000,남가좌동,1141012000103240030,서울특별시 서대문구 남가좌동 324-30,114103112003,서울특별시 서대문구 거북골로,서울특별시 서대문구 거북골로 35,120806,3665,126.923903322807,37.5793519984021,서울특별시,서대문구,남가좌동,324-30,서대문구 남가좌동,53,74,25,0
MA010120220800726268,아름다운사진,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11530,구로구,11530750,개봉2동,1153010700,개봉동,1153010700104030136,서울특별시 구로구 개봉동 403-136,115303116001,서울특별시 구로구 개봉로,서울특별시 구로구 개봉로 52-2,152092,8332,126.85628242363,37.490315451797,서울특별시,구로구,개봉동,403-136,구로구 개봉동,27,63,31,0
MA010120220800715555,여백스튜디오,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11530,구로구,11530530,구로2동,1153010200,구로동,1153010200104370001,서울특별시 구로구 구로동 437-1,115303000023,서울특별시 구로구 가마산로,서울특별시 구로구 가마산로 229,152855,8284,126.886348529795,37.4942429318268,서울특별시,구로구,구로동,437-1,구로구 구로동,30,222,111,0
MA010120220800645246,하루필름,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11380,은평구,11380551,갈현1동,1138010400,갈현동,1138010400103990023,서울특별시 은평구 갈현동 399-23,113804133160,서울특별시 은평구 연서로29길,서울특별시 은평구 연서로29길 14,122809,3330,126.918731271404,37.6191303556794,서울특별시,은평구,갈현동,399-23,은평구 갈현동,47,199,79,0
MA010120220800842149,키다리아저씨사진관,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103950022,서울특별시 마포구 서교동 395-22,114404139096,서울특별시 마포구 독막로7길,서울특별시 마포구 독막로7길 47,121840,4043,126.919630172134,37.5499121167538,서울특별시,마포구,서교동,395-22,마포구 서교동,39,854,69,0
MA010120220802285209,하루필름,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11350,노원구,11350640,상계2동,1135010500,상계동,1135010500105980002,서울특별시 노원구 상계동 598-2,113503110003,서울특별시 노원구 상계로,서울특별시 노원구 상계로 70,139821,1695,127.062751387158,37.6559981804444,서울특별시,노원구,상계동,598-2,노원구 상계동,55,226,91,0
MA010120220803072770,한양스튜디오,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11140,중구,11140580,장충동,1114014400,장충동2가,1114014400100460001,서울특별시 중구 장충동2가 46-1,111404103363,서울특별시 중구 퇴계로56길,서울특별시 중구 퇴계로56길 58-4,100855,4616,127.005203620235,37.561440605643,서울특별시,중구,장충동2가,46-1,중구 장충동2가,48,247,55,0
MA010120220803230817,인생네컷,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11410,서대문구,11410700,남가좌2동,1141012000,남가좌동,1141012000103240019,서울특별시 서대문구 남가좌동 324-19,114103112003,서울특별시 서대문구 거북골로,서울특별시 서대문구 거북골로 25-1,120806,3665,126.924586844693,37.5798447868258,서울특별시,서대문구,남가좌동,324-19,서대문구 남가좌동,57,68,22,0
MA010120220803367048,포토그레이,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11590,동작구,11590605,흑석동,1159010500,흑석동,1159010500101900025,서울특별시 동작구 흑석동 190-25,115903119010,서울특별시 동작구 흑석로,서울특별시 동작구 흑석로 83-2,156861,6910,126.9589048055,37.5072580418984,서울특별시,동작구,흑석동,190-25,동작구 흑석동,45,77,13,0
MA010120220803755907,우리동네사진관,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11650,서초구,11650531,서초4동,1165010800,서초동,1165010800113170003,서울특별시 서초구 서초동 1317-3,116504163028,서울특별시 서초구 강남대로61길,서울특별시 서초구 강남대로61길 7,137856,6615,127.025925491814,37.4990264412028,서울특별시,서초구,서초동,1317-3,서초구 서초동,34,487,77,0
MA010120220804023571,스튜디오밥,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73302,상업용 사진 촬영업,11650,서초구,11650540,잠원동,1165010600,잠원동,1165010600100140017,서울특별시 서초구 잠원동 14-17,116503121002,서울특별시 서초구 나루터로,서울특별시 서초구 나루터로 73,137902,6525,127.01779044609,37.5157006478671,서울특별시,서초구,잠원동,14-17,서초구 잠원동,17,318,58,1
MA010120220804247154,한양스튜디오,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73303,사진 처리업,11710,송파구,11710562,방이2동,1171011100,방이동,1171011100101110010,서울특별시 송파구 방이동 111-10,117104169380,서울특별시 송파구 오금로19길,서울특별시 송파구 오금로19길 17,138830,5641,127.113926641524,37.5112798957276,서울특별시,송파구,방이동,111-10,송파구 방이동,30,259,89,0
MA010120220804204434,하루필름,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11680,강남구,11680640,역삼1동,1168010100,역삼동,1168010100106170004,서울특별시 강남구 역삼동 617-4,116804166003,서울특별시 강남구 강남대로102길,서울특별시 강남구 강남대로102길 31,135907,6124,127.027727702677,37.503078013327,서울특별시,강남구,역삼동,617-4,강남구 역삼동,24,564,88,0
MA010120220804368696,수상한사진관,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11350,노원구,11350640,상계2동,1135010500,상계동,1135010500106020010,서울특별시 노원구 상계동 602-10,113504130277,서울특별시 노원구 상계로1길,서울특별시 노원구 상계로1길 14-33,139821,1693,127.062080185619,37.6571011171705,서울특별시,노원구,상계동,602-10,노원구 상계동,58,234,93,0
MA010120220804453971,엘스튜디오,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11680,강남구,11680640,역삼1동,1168010100,역삼동,1168010100107050025,서울특별시 강남구 역삼동 705-25,116803122006,서울특별시 강남구 선릉로,서울특별시 강남구 선릉로 513,135922,6150,127.048284129509,37.5052727963886,서울특별시,강남구,역삼동,705-25,강남구 역삼동,43,294,62,0
MA010120220804371189,뉴페이스스튜디오,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11350,노원구,11350720,상계10동,1135010500,상계동,1135010500106930000,서울특별시 노원구 상계동 693,113503000001,서울특별시 노원구 동일로,서울특별시 노원구 동일로 1426,139827,1694,127.060530750824,37.655944474372,서울특별시,노원구,상계동,693,노원구 상계동,54,219,93,0
MA010120220805369637,인생네컷,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11500,강서구,11500560,화곡3동,1150010300,화곡동,1150010300110650001,서울특별시 강서구 화곡동 1065-1,115004145505,서울특별시 강서구 화곡로25길,서울특별시 강서구 화곡로25길 2,157924,7714,126.838484138521,37.5413748231096,서울특별시,강서구,화곡동,1065-1,강서구 화곡동,35,142,81,0
MA010120220805421676,하루필름,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11200,성동구,11200690,성수2가3동,1120011500,성수동2가,1120011500103020036,서울특별시 성동구 성수동2가 302-36,112004109413,서울특별시 성동구 연무장길,서울특별시 성동구 연무장길 17,133835,4782,127.05139369846,37.5437547451364,서울특별시,성동구,성수동2가,302-36,성동구 성수동2가,38,267,61,0
MA0101202209A0043199,포토시그니처,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11215,광진구,11215850,구의1동,1121510300,구의동,1121510300102520035,서울특별시 광진구 구의동 252-35,112154112421,서울특별시 광진구 자양로18길,서울특별시 광진구 자양로18길 15,143826,5043,127.084273711972,37.5376799075177,서울특별시,광진구,구의동,252-35,광진구 구의동,69,166,97,0
MA0101202209A0076709,하루필름,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11440,마포구,11440660,서교동,1144012000,서교동,1144012000103960032,서울특별시 마포구 서교동 396-32,114404139430,서울특별시 마포구 양화로6길,서울특별시 마포구 양화로6길 45,121840,4047,126.916792353131,37.5489400249656,서울특별시,마포구,서교동,396-32,마포구 서교동,36,784,60,0
MA0101202209A0082576,그믐달셀프스튜디오,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11350,노원구,11350640,상계2동,1135010500,상계동,1135010500106160004,서울특별시 노원구 상계동 616-4,113504130088,서울특별시 노원구 노해로81길,서울특별시 노원구 노해로81길 16,139821,1695,127.062846686707,37.655629513668,서울특별시,노원구,상계동,616-4,노원구 상계동,55,227,92,1
MA0101202307A0073104,포토이즘박스,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11530,구로구,11530560,구로5동,1153010200,구로동,1153010200100260000,서울특별시 구로구 구로동 26,115303116007,서울특별시 구로구 새말로,서울특별시 구로구 새말로 102,152770,8289,126.891391372165,37.5057696736943,서울특별시,구로구,구로동,26,구로구 구로동,28,200,52,0
MA0101202308A0023025,픽닷,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11410,서대문구,11410585,신촌동,1141011200,대현동,1141011200100560076,서울특별시 서대문구 대현동 56-76,114104136322,서울특별시 서대문구 이화여대길,서울특별시 서대문구 이화여대길 37,120808,3766,126.945570522112,37.5586254178815,서울특별시,서대문구,대현동,56-76,서대문구 대현동,105,274,59,0
MA010120220813084409,포토이즘박스,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11350,노원구,11350640,상계2동,1135010500,상계동,1135010500106170000,서울특별시 노원구 상계동 617,113503110003,서울특별시 노원구 상계로,서울특별시 노원구 상계로 64,139821,1695,127.062255380977,37.6557870006375,서울특별시,노원구,상계동,617,노원구 상계동,53,226,92,0
MA0101202305A0098834,포토이즘박스,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11140,중구,11140605,을지로동,1114015500,을지로3가,1114015500103200003,서울특별시 중구 을지로3가 320-3,111404103316,서울특별시 중구 충무로5길,서울특별시 중구 충무로5길 19,100846,4550,126.9916146558,37.5652718896764,서울특별시,중구,을지로3가,320-3,중구 을지로3가,42,691,71,0
MA010120220813333956,포토이즘박스,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11560,영등포구,11560535,영등포동,1156010400,영등포동3가,1156010400100130011,서울특별시 영등포구 영등포동3가 13-11,115604154728,서울특별시 영등포구 영등포로50길,서울특별시 영등포구 영등포로50길 11,150030,7303,126.909390393585,37.5179121117548,서울특별시,영등포구,영등포동3가,13-11,영등포구 영등포동3가,47,204,91,0
MA0101202211A0009262,시안사진관,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11215,광진구,11215847,자양4동,1121510500,자양동,1121510500100070009,서울특별시 광진구 자양동 7-9,112154112196,서울특별시 광진구 동일로20길,서울특별시 광진구 동일로20길 91,143841,5073,127.068652368184,37.5399995885681,서울특별시,광진구,자양동,7-9,광진구 자양동,48,422,138,0
MA010120220803948622,코닥사진관,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11305,강북구,11305555,송천동,1130510100,미아동,1130510100100600005,서울특별시 강북구 미아동 60-5,113053005039,서울특별시 강북구 도봉로,서울특별시 강북구 도봉로 45,142724,1211,127.029434059876,37.6131368345599,서울특별시,강북구,미아동,60-5,강북구 미아동,56,162,50,0
MA0101202305A0042528,포토시그니처,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,S96999,그 외 기타 달리 분류되지 않은 개인 서비스업,11140,중구,11140550,명동,1114012500,충무로2가,1114012500100650017,서울특별시 중구 충무로2가 65-17,111404103160,서울특별시 중구 명동8가길,서울특별시 중구 명동8가길 8,100861,4536,126.985473633658,37.5615340127774,서울특별시,중구,충무로2가,65-17,중구 충무로2가,36,557,71,0
MA010120220804016835,이음스튜디오,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,11680,강남구,11680565,청담동,1168010400,청담동,1168010400100180012,서울특별시 강남구 청담동 18-12,116804166293,서울특별시 강남구 도산대로66길,서울특별시 강남구 도산대로66길 30,135949,6064,127.043890326075,37.5216545179802,서울특별시,강남구,청담동,18-12,강남구 청담동,33,512,24,0
